,0
0,HSCB
1,CFB
2,SAG
3,CASQ2
4,MOCS1
5,ORC4
6,SLC29A3
7,POLE
8,ARPC1B
9,MRPS22
10,ATXN1
11,GNAO1
12,WNT10A
13,ANKRD17
14,NLRP5
15,PDK3
16,ANOS1
17,ATP5F1E
18,C14orf39
19,SPRED1
20,FAN1
21,CRELD1
22,CRBN
23,ATG7
24,NDUFV2
25,GNAT2
26,FOXL1
27,CDKL5
28,VLDLR
29,MYC
30,CHST3
31,IFT81
32,IHPS3
33,FITM2
34,P3H2
35,ALDH18A1
36,DLST
37,SDHC
38,HDAC8
39,TBC1D4
40,MARK3
41,AKT1
42,F10
43,HSD3B7
44,KIF2A
45,GAB1
46,TRAPPC10
47,HPS3
48,LMNA
49,GRAP
50,HIKESHI
51,ST3GAL3
52,ENTPD1
53,DRG1
54,BCOR
55,GNAS
56,EXOSC8
57,GCK
58,DBR1
59,ANO5
60,PGAP1
61,OFD1
62,PRKG2
63,SLC10A2
64,HADH
65,SEPSECS
66,TFRC
67,VSX1
68,LIM2
69,VPS16
70,DFNB33
71,OLR1
72,EIF2B4
73,DYNC2I2
74,LIG3
75,SCN1A
76,DPP6
77,PPP1CB
78,VPS33A
79,MACF1
80,HCN4
81,GOT1
82,ATP6V0C
83,PDSS2
84,TGM5
85,CHN1
86,RP2
87,MPC1
88,EIF2AK1
89,RSPO1
90,CYP3A4
91,EFEMP2
92,RB1
93,CLDN10
94,PYCR1
95,TRAC
96,RAD51
97,ETFA
98,SUCLG1
99,CFAP410
100,ALG10B
101,EPX
102,THOC2
103,OAT
104,AFG2B
105,TMPRSS6
106,NHLRC1
107,NYX
108,MYL11
109,HGF
110,CFAP52
111,CYBC1
112,MAP1B
113,PHC1
114,ABCC9
115,TRRAP
116,LPIN2
117,CAMK2G
118,PTHLH
119,CD19
120,FGF17
121,KIF12
122,RLS3
123,GATA1
124,CTRCT35
125,HMBS
126,ZBTB7A
127,COL25A1
128,DNASE1
129,FGD1
130,DGKE
131,RNU12
132,ABCA4
133,BBS1
134,ADAT3
135,RP1
136,TIMM8A
137,NKAP
138,STEAP3
139,PEE3
140,ADAMTS19
141,BBS5
142,GALNT3
143,THAP11
144,HTR1A
145,PPFIBP1
146,RYR2
147,MRPL12
148,PIK3C2A
149,RIC1
150,CRYGC
151,PRF1
152,PAM16
153,ALPL
154,INSL3
155,PXDN
156,RMND1
157,RSPH3
158,CDKN2A
159,PRRT2
160,TNFRSF9
161,VEGFA
162,NCAPD2
163,LDLRAP1
164,LTA
165,COX7B
166,THSD1
167,ZBTB42
168,CTSB
169,GALT
170,ANO10
171,NUP160
172,TAF1
173,KRT85
174,PLIN1
175,VMA21
176,ECM1
177,SLC26A2
178,ISG15
179,TANC2
180,SMARCAD1
181,EDN1
182,HOXB1
183,HIVEP2
184,NBN
185,IL12RB1
186,CCNQ
187,TREM2
